PL21-GRE,24.93496551,37.04529378,30.30320084,24.16205234,13.98351161,7.793906902,7.005650398
PL21-RED,0,0,0,0.102598532,2.129685076,7.839916737,9.063543231
PL21-YEL,0,0,0,3.475574868,4.489670612,4.689437834,7.341354815
PL22-GRE,67.93187665,73.40327005,60.24528049,63.4726984,59.50066018,42.82363789,30.94649149
PL22-RED,25.12016521,31.68767519,40.35415614,43.42780386,39.77149608,37.58693103,33.38427747
PL22-YEL,72.74046149,67.37907238,66.70764517,63.8700018,46.51172567,42.12260977,30.32768698
PL23-GRE,60.6797711,77.15470041,93.60767478,98.31401927,95.90248341,80.21255085,60.87152482
PL23-RED,0,0,0.219142499,2.881301705,27.81157315,54.41702482,55.9180313
PL23-YEL,83.46173194,75.21777646,69.48162697,61.27985006,51.08762581,47.38620171,45.18393854
PL24-GRE,100,99.99963435,88.50532329,73.07013072,66.07992243,58.59777244,39.96989193
PL24-RED,0,0,15.56396921,42.73012257,52.53773189,50.92836923,38.04901608
PL24-YEL,0,5.797511058,2.824841699,1.877740993,4.161447425,14.84211114,28.12858961
PL25-GRE,77.68877166,58.09517773,34.04610836,27.26613473,29.45495487,34.92138492,41.95886448
PL25-RED,47.5157895,31.98070956,16.88550563,16.94398945,35.46110576,44.30578111,38.76688816
PL25-YEL,8.608472384,19.4423242,21.64378909,43.25050693,32.13622402,39.75699682,38.41177295
PL26-GRE,100,76.23365225,47.9117617,31.16724456,12.6673042,8.750990844,9.579630698
PL26-RED,71.2850127,63.26674998,52.45753736,24.86404744,12.6789687,15.3724211,12.38969893
PL26-YEL,20.88547447,13.38279152,15.61555628,11.49040481,19.96592616,11.25142551,13.06630607
PL27-GRE,0,0,0,0,2.679911607,6.656867237,8.405460572
PL27-RED,7.440502076,17.49470112,22.1085285,13.37544129,7.06121511,5.036483102,12.90529963
PL27-YEL,14.170619,14.47635723,4.157930493,1.118206838,0.290405125,0.93676183,5.064565536
